Street Details,Floor Level,Gate Level,Road Centre,Latitude,Longitude
127 Ballina Road EAST LISMORE,13.3,11.13,10.72,-28.8148602,153.2821939
128 Ballina Road LISMORE,11.84,9.8,10.03,-28.8152013,153.2877656
129 Ballina Road EAST LISMORE,12.73,10.92,10.66,-28.8148572,153.2823781
131 Ballina Road EAST LISMORE,13.63,10.73,10.55,-28.8149709,153.2825163
133 Ballina Road EAST LISMORE,12.54,10.61,10.5,-28.8149257,153.2827004
135 Ballina Road EAST LISMORE,12.9,10.53,10.42,-28.8149551,153.2828386
137 Ballina Road EAST LISMORE,13.04,10.38,10.32,-28.8149844,153.2829767
139 Ballina Road EAST LISMORE,12.51,10.26,10.25,-28.8149814,153.2831609
141 Ballina Road EAST LISMORE,12.45,10.11,10.18,-28.8150108,153.2832991
143 Ballina Road EAST LISMORE,12.34,9.95,10.1,-28.8150499,153.2834832
145 Ballina Road EAST LISMORE,13.04,9.86,10.04,-28.8151053,153.2836444
147 Ballina Road EAST LISMORE,12.93,9.86,10.03,-28.8151184,153.2838056
149 Ballina Road EAST LISMORE,12.12,9.82,10,-28.8151154,153.2839898
151 Ballina Road EAST LISMORE,12.38,9.72,10.09,-28.8151753,153.2843495
153 Ballina Road EAST LISMORE,12.99,9.87,10.1,-28.8152413,153.2844783
155 Ballina Road EAST LISMORE,12,9.83,10.1,-28.815221,153.2845951
157 Ballina Road EAST LISMORE,11.98,9.79,10.14,-28.8152299,153.2847265
159 Ballina Road EAST LISMORE,13.03,9.8,10.16,-28.8152827,153.2848296
163 Ballina Road EAST LISMORE,12.15,9.85,10.15,-28.8152984,153.2850488
165 Ballina Road EAST LISMORE,11.67,9.77,10.09,-28.815366,153.2854626
171 Ballina Road EAST LISMORE,12.85,9.56,9.88,-28.815489,153.2858883
173 Ballina Road EAST LISMORE,11.81,9.57,9.75,-28.8154847,153.2860526
175 Ballina Road EAST LISMORE,11.68,9.43,9.57,-28.8154685,153.2862461
177 Ballina Road EAST LISMORE,12.47,9.3,9.5,-28.8154647,153.2865434
179 Ballina Road EAST LISMORE,11.44,9.15,9.42,-28.815537,153.2865684
181 Ballina Road EAST LISMORE,12.44,9.42,9.46,-28.8156251,153.2869828
183 Ballina Road EAST LISMORE,11.65,9.56,9.61,-28.8155317,153.2870811
187 Ballina Road EAST LISMORE,11.75,9.71,9.78,-28.8156503,153.2873842
189 Ballina Road EAST LISMORE,11.86,9.68,9.91,-28.8156582,153.2875354
191 Ballina Road EAST LISMORE,12.79,9.89,10.1,-28.8157072,153.2877656
195 Ballina Road EAST LISMORE,12.92,9.96,10.21,-28.8156781,153.2880187
197 Ballina Road EAST LISMORE,12.12,10.02,10.29,-28.8158148,153.2880207
199 Ballina Road EAST LISMORE,12.28,10.08,10.43,-28.8157952,153.2881801
201 Ballina Road EAST LISMORE,12.73,10.89,11.04,-28.8158062,153.2884408
205 Ballina Road EAST LISMORE,12.87,11.39,11.51,-28.8158509,153.2886405
207 Ballina Road EAST LISMORE,13.26,12.56,12.63,-28.8158803,153.2887787
9 Barrie Street EAST LISMORE,12.78,10.39,10.25,-28.8155155,153.2707442
11 Barrie Street EAST LISMORE,12.12,9.88,9.96,-28.8157622,153.2707747
1 Bright Street EAST LISMORE,12.33,10.08,10.3,-28.8173645,153.2864463
2 Bright Street EAST LISMORE,12.91,10.12,10.3,-28.8169273,153.2865053
3 Bright Street EAST LISMORE,12.6,10.06,10.2,-28.8173764,153.2866238
4 Bright Street EAST LISMORE,12.41,10.06,10.2,-28.8169817,153.2867055
5 Bright Street EAST LISMORE,12.14,10,10.22,-28.8173985,153.2867986
6 Bright Street EAST LISMORE,11.99,9.81,10.22,-28.8170077,153.2868648
9 Bright Street EAST LISMORE,12.39,9.97,10.21,-28.8174662,153.2870479
10 Bright Street EAST LISMORE,11.86,9.9,10.25,-28.8169989,153.2871342
11 Bright Street EAST LISMORE,12.96,10.58,10.53,-28.8174866,153.2872131
12 Bright Street EAST LISMORE,12.08,10.12,10.51,-28.8170749,153.2872591
13 Bright Street EAST LISMORE,13.78,11.64,11.18,-28.8179325,153.2869225
14 Bright Street EAST LISMORE,12.42,10.34,10.73,-28.8170449,153.2874335
15 Bright Street EAST LISMORE,13.91,11.38,11.3,-28.8179531,153.2870836
15 Bright Street EAST LISMORE,13.91,11.38,11.3,-28.8179531,153.2870836
15 Bright Street EAST LISMORE,13.55,11.38,11.3,-28.8179531,153.2870836
15 Bright Street EAST LISMORE,13.55,11.38,11.3,-28.8179531,153.2870836
171 Ballina Road EAST LISMORE,12.85,9.56,9.88,-28.815489,153.2858883
173 Ballina Road EAST LISMORE,11.81,9.57,9.75,-28.8154847,153.2860526
175 Ballina Road EAST LISMORE,11.68,9.43,9.57,-28.8154685,153.2862461
177 Ballina Road EAST LISMORE,12.47,9.3,9.5,-28.8154647,153.2865434
179 Ballina Road EAST LISMORE,11.44,9.15,9.42,-28.815537,153.2865684
181 Ballina Road EAST LISMORE,12.44,9.42,9.46,-28.8156251,153.2869828
183 Ballina Road EAST LISMORE,11.65,9.56,9.61,-28.8155317,153.2870811
187 Ballina Road EAST LISMORE,11.75,9.71,9.78,-28.8156503,153.2873842
189 Ballina Road EAST LISMORE,11.86,9.68,9.91,-28.8156582,153.2875354
191 Ballina Road EAST LISMORE,12.79,9.89,10.1,-28.8157072,153.2877656
195 Ballina Road EAST LISMORE,12.92,9.96,10.21,-28.8156781,153.2880187
197 Ballina Road EAST LISMORE,12.12,10.02,10.29,-28.8158148,153.2880207
199 Ballina Road EAST LISMORE,12.28,10.08,10.43,-28.8157952,153.2881801
201 Ballina Road EAST LISMORE,12.73,10.89,11.04,-28.8158062,153.2884408
205 Ballina Road EAST LISMORE,12.87,11.39,11.51,-28.8158509,153.2886405
207 Ballina Road EAST LISMORE,13.26,12.56,12.63,-28.8158803,153.2887787
9 Barrie Street EAST LISMORE,12.78,10.39,10.25,-28.8155155,153.2707442
11 Barrie Street EAST LISMORE,12.12,9.88,9.96,-28.8157622,153.2707747
1 Bright Street EAST LISMORE,12.33,10.08,10.3,-28.8173645,153.2864463
2 Bright Street EAST LISMORE,12.91,10.12,10.3,-28.8169273,153.2865053
3 Bright Street EAST LISMORE,12.6,10.06,10.2,-28.8173764,153.2866238
4 Bright Street EAST LISMORE,12.41,10.06,10.2,-28.8169817,153.2867055
5 Bright Street EAST LISMORE,12.14,10,10.22,-28.8173985,153.2867986
6 Bright Street EAST LISMORE,11.99,9.81,10.22,-28.8170077,153.2868648
9 Bright Street EAST LISMORE,12.39,9.97,10.21,-28.8174662,153.2870479
10 Bright Street EAST LISMORE,11.86,9.9,10.25,-28.8169989,153.2871342
11 Bright Street EAST LISMORE,12.96,10.58,10.53,-28.8174866,153.2872131
12 Bright Street EAST LISMORE,12.08,10.12,10.51,-28.8170749,153.2872591
13 Bright Street EAST LISMORE,13.78,11.64,11.18,-28.8179325,153.2869225
14 Bright Street EAST LISMORE,12.42,10.34,10.73,-28.8170449,153.2874335
15 Bright Street EAST LISMORE,13.91,11.38,11.3,-28.8179531,153.2870836
15 Bright Street EAST LISMORE,13.91,11.38,11.3,-28.8179531,153.2870836
15 Bright Street EAST LISMORE,13.55,11.38,11.3,-28.8179531,153.2870836
15 Bright Street EAST LISMORE,13.55,11.38,11.3,-28.8179531,153.2870836
19 Bright Street EAST LISMORE,13.59,10.91,10.73,-28.817546,153.2874492
