Street Details,Floor Level,Gate Level,Road Centre,Latitude,Longitude
41 Parkes Street EAST LISMORE,13.87,12.35,12.04,-28.8159149,153.2783655
42 Parkes Street EAST LISMORE,12.63,10.94,11.44,-28.815475,153.2784469
43 Parkes Street EAST LISMORE,14.09,12.85,12.5,-28.8159421,153.2784859
44 Parkes Street EAST LISMORE,13.28,11.2,11.79,-28.8155336,153.2785715
46 Parkes Street EAST LISMORE,13.42,11.72,12.37,-28.8156043,153.2786733
3 Paunelle Avenue EAST LISMORE,12.118,11.493,11.373,-28.8260299,153.2962469
4 Paunelle Avenue EAST LISMORE,11.773,11.221,11.103,-28.8261009,153.2967087
7 Paunelle Avenue EAST LISMORE,11.65,11.217,11.133,-28.8262912,153.2962182
9 Paunelle Avenue EAST LISMORE,11.514,11.036,11.014,-28.8264494,153.296055
10 Paunelle Avenue EAST LISMORE,11.516,11.048,10.977,-28.8267008,153.296653
11 Paunelle Avenue EAST LISMORE,11.703,10.835,10.847,-28.8266169,153.29612
12 Paunelle Avenue EAST LISMORE,11.658,10.946,10.791,-28.8268684,153.2965792
13 Paunelle Avenue EAST LISMORE,11.204,10.881,10.739,-28.8268043,153.296104
14 Paunelle Avenue EAST LISMORE,11.436,10.763,10.699,-28.8270453,153.2965812
15 Paunelle Avenue EAST LISMORE,11.11,10.653,10.704,-28.827014,153.29597
16 Paunelle Avenue EAST LISMORE,11.077,10.621,10.63,-28.8271903,153.296489
17 Paunelle Avenue EAST LISMORE,10.971,10.567,10.595,-28.8271806,153.296069
18 Paunelle Avenue EAST LISMORE,11.487,10.589,10.562,-28.8273531,153.296497
19 Paunelle Avenue EAST LISMORE,11.126,10.573,10.538,-28.8273201,153.2960292
20 Paunelle Avenue EAST LISMORE,11.392,10.519,10.481,-28.8275678,153.2964629
21 Paunelle Avenue EAST LISMORE,11.134,10.495,10.437,-28.8274736,153.2960226
22 Paunelle Avenue EAST LISMORE,11.256,10.457,10.181,-28.8277079,153.2964524
23 Paunelle Avenue EAST LISMORE,11.09,10.49,10.298,-28.8276226,153.2958977
9 Second Avenue EAST LISMORE,12.43,11.86,12.46,-28.8162104,153.2887094
11 Second Avenue EAST LISMORE,12.2,11.63,12.17,-28.8163666,153.2886866
12 Second Avenue EAST LISMORE,13.04,12.31,12.13,-28.8164868,153.2891312
13 Second Avenue EAST LISMORE,13.1,11.15,11.53,-28.8166999,153.2885729
15 Second Avenue EAST LISMORE,13.03,11.08,11.54,-28.8169217,153.288563
20 Second Avenue EAST LISMORE,12.6,11.43,11.5,-28.817125,153.2889896
22 Second Avenue EAST LISMORE,12.82,11.59,11.51,-28.8172638,153.2889882
24 Second Avenue EAST LISMORE,12.92,11.74,11.62,-28.8173737,153.2889489
25 Second Avenue EAST LISMORE,12.53,11.65,12.12,-28.8176037,153.2884256
26 Second Avenue EAST LISMORE,13.3,12.17,12.12,-28.8177074,153.2889985
27 Second Avenue EAST LISMORE,13.05,12.36,12.57,-28.8177074,153.2883668
28 Second Avenue EAST LISMORE,13.62,12.71,12.57,-28.8178227,153.2888938
29 Second Avenue EAST LISMORE,13.53,12.83,13,-28.8178263,153.2883509
30 Second Avenue EAST LISMORE,14.02,13.19,13.19,-28.8179268,153.2888595
31 Second Avenue EAST LISMORE,14.67,13.87,13.91,-28.8179761,153.2883003
32 Second Avenue EAST LISMORE,14.67,13.87,13.91,-28.8180641,153.2888271
1 Spring Street EAST LISMORE,11.83,9.71,10.09,-28.8164481,153.2866152
3 Spring Street EAST LISMORE,11.77,9.57,9.77,-28.8164726,153.2867708
7 Paunelle Avenue EAST LISMORE,11.65,11.217,11.133,-28.8262912,153.2962182
9 Paunelle Avenue EAST LISMORE,11.514,11.036,11.014,-28.8264494,153.296055
10 Paunelle Avenue EAST LISMORE,11.516,11.048,10.977,-28.8267008,153.296653
11 Paunelle Avenue EAST LISMORE,11.703,10.835,10.847,-28.8266169,153.29612
12 Paunelle Avenue EAST LISMORE,11.658,10.946,10.791,-28.8268684,153.2965792
13 Paunelle Avenue EAST LISMORE,11.204,10.881,10.739,-28.8268043,153.296104
14 Paunelle Avenue EAST LISMORE,11.436,10.763,10.699,-28.8270453,153.2965812
15 Paunelle Avenue EAST LISMORE,11.11,10.653,10.704,-28.827014,153.29597
16 Paunelle Avenue EAST LISMORE,11.077,10.621,10.63,-28.8271903,153.296489
17 Paunelle Avenue EAST LISMORE,10.971,10.567,10.595,-28.8271806,153.296069
18 Paunelle Avenue EAST LISMORE,11.487,10.589,10.562,-28.8273531,153.296497
19 Paunelle Avenue EAST LISMORE,11.126,10.573,10.538,-28.8273201,153.2960292
20 Paunelle Avenue EAST LISMORE,11.392,10.519,10.481,-28.8275678,153.2964629
21 Paunelle Avenue EAST LISMORE,11.134,10.495,10.437,-28.8274736,153.2960226
22 Paunelle Avenue EAST LISMORE,11.256,10.457,10.181,-28.8277079,153.2964524
23 Paunelle Avenue EAST LISMORE,11.09,10.49,10.298,-28.8276226,153.2958977
9 Second Avenue EAST LISMORE,12.43,11.86,12.46,-28.8162104,153.2887094
11 Second Avenue EAST LISMORE,12.2,11.63,12.17,-28.8163666,153.2886866
12 Second Avenue EAST LISMORE,13.04,12.31,12.13,-28.8164868,153.2891312
13 Second Avenue EAST LISMORE,13.1,11.15,11.53,-28.8166999,153.2885729
15 Second Avenue EAST LISMORE,13.03,11.08,11.54,-28.8169217,153.288563
20 Second Avenue EAST LISMORE,12.6,11.43,11.5,-28.817125,153.2889896
22 Second Avenue EAST LISMORE,12.82,11.59,11.51,-28.8172638,153.2889882
24 Second Avenue EAST LISMORE,12.92,11.74,11.62,-28.8173737,153.2889489
25 Second Avenue EAST LISMORE,12.53,11.65,12.12,-28.8176037,153.2884256
26 Second Avenue EAST LISMORE,13.3,12.17,12.12,-28.8177074,153.2889985
27 Second Avenue EAST LISMORE,13.05,12.36,12.57,-28.8177074,153.2883668
28 Second Avenue EAST LISMORE,13.62,12.71,12.57,-28.8178227,153.2888938
29 Second Avenue EAST LISMORE,13.53,12.83,13,-28.8178263,153.2883509
30 Second Avenue EAST LISMORE,14.02,13.19,13.19,-28.8179268,153.2888595
31 Second Avenue EAST LISMORE,14.67,13.87,13.91,-28.8179761,153.2883003
32 Second Avenue EAST LISMORE,14.67,13.87,13.91,-28.8180641,153.2888271
1 Spring Street EAST LISMORE,11.83,9.71,10.09,-28.8164481,153.2866152
3 Spring Street EAST LISMORE,11.77,9.57,9.77,-28.8164726,153.2867708
7 Spring Street EAST LISMORE,12.38,9.59,9.85,-28.8165456,153.2872041
8 Spring Street EAST LISMORE,11.59,9.44,9.7,-28.8161052,153.2871095
10 Spring Street EAST LISMORE,11.82,9.67,9.82,-28.8161448,153.2872652
12 Spring Street EAST LISMORE,12.23,9.86,10,-28.8161764,153.2874836
13 Spring Street EAST LISMORE,11.83,9.77,9.91,-28.8165772,153.287396
14 Spring Street EAST LISMORE,12.2,9.98,10.17,-28.8161976,153.287686
15 Spring Street EAST LISMORE,11.96,9.92,10.17,-28.8166074,153.2876041
16 Spring Street EAST LISMORE,12.31,10.1,10.29,-28.8161854,153.2879132
19 Spring Street EAST LISMORE,12.37,10.2,10.36,-28.8166268,153.2877996
21 Spring Street EAST LISMORE,12.29,10.16,10.47,-28.8166835,153.2879959
22 Spring Street EAST LISMORE,12.45,10.3,10.47,-28.8162514,153.28809
24 Spring Street EAST LISMORE,12.54,10.45,10.58,-28.8162696,153.2882579
26 Spring Street EAST LISMORE,12.59,10.66,10.74,-28.816291,153.2884227
31 Spring Street EAST LISMORE,12.48,10.31,10.63,-28.8166902,153.2882261
33 Spring Street EAST LISMORE,13.53,12.37,12.66,-28.8168466,153.2890344
5 Stocks Street EAST LISMORE,13.63,12.66,13.25,-28.8195526,153.2859592
7 Stocks Street EAST LISMORE,13.54,12.98,13.7,-28.8196996,153.2859237
9 Stocks Street EAST LISMORE,14.03,13.38,14.12,-28.8198923,153.2859565
48 Victoria Street EAST LISMORE,9.26,8.58,8.49,-28.8133507,153.2713272
50 Victoria Street EAST LISMORE,9.26,8.58,8.49,-28.8130554,153.2710105
52 Victoria Street EAST LISMORE,9.26,8.58,8.49,-28.8132173,153.2711049
54 Victoria Street EAST LISMORE,10.87,8.62,8.46,-28.8134053,153.2712692
39 Walker Street EAST LISMORE,11.454,11.18,11.285,-28.8252932,153.2936488
41 Walker Street EAST LISMORE,11.574,10.884,11.335,-28.8253153,153.2937646
49 Walker Street EAST LISMORE,12.212,11.224,11.451,-28.8253587,153.2943045
51 Walker Street EAST LISMORE,11.98,11.254,11.538,-28.8253847,153.2944897
53 Walker Street EAST LISMORE,11.487,11.483,11.713,-28.8254195,153.2946628
55 Walker Street EAST LISMORE,12.129,11.525,11.8,-28.8254761,153.2948571
57 Walker Street EAST LISMORE,12.083,11.594,11.912,-28.8254788,153.2950295
59 Walker Street EAST LISMORE,12.396,11.723,12.057,-28.8255538,153.2954357
61 Walker Street EAST LISMORE,12.456,11.882,12.125,-28.8255703,153.2956385
63 Walker Street EAST LISMORE,11.992,11.992,12.233,-28.8256103,153.2957717
73 Walker Street EAST LISMORE,12.07,12.163,12.324,-28.8256934,153.296055
7 Spring Street EAST LISMORE,12.38,9.59,9.85,-28.8165456,153.2872041
8 Spring Street EAST LISMORE,11.59,9.44,9.7,-28.8161052,153.2871095
10 Spring Street EAST LISMORE,11.82,9.67,9.82,-28.8161448,153.2872652
12 Spring Street EAST LISMORE,12.23,9.86,10,-28.8161764,153.2874836
13 Spring Street EAST LISMORE,11.83,9.77,9.91,-28.8165772,153.287396
14 Spring Street EAST LISMORE,12.2,9.98,10.17,-28.8161976,153.287686
15 Spring Street EAST LISMORE,11.96,9.92,10.17,-28.8166074,153.2876041
16 Spring Street EAST LISMORE,12.31,10.1,10.29,-28.8161854,153.2879132
19 Spring Street EAST LISMORE,12.37,10.2,10.36,-28.8166268,153.2877996
21 Spring Street EAST LISMORE,12.29,10.16,10.47,-28.8166835,153.2879959
22 Spring Street EAST LISMORE,12.45,10.3,10.47,-28.8162514,153.28809
24 Spring Street EAST LISMORE,12.54,10.45,10.58,-28.8162696,153.2882579
26 Spring Street EAST LISMORE,12.59,10.66,10.74,-28.816291,153.2884227
31 Spring Street EAST LISMORE,12.48,10.31,10.63,-28.8166902,153.2882261
33 Spring Street EAST LISMORE,13.53,12.37,12.66,-28.8168466,153.2890344
5 Stocks Street EAST LISMORE,13.63,12.66,13.25,-28.8195526,153.2859592
7 Stocks Street EAST LISMORE,13.54,12.98,13.7,-28.8196996,153.2859237
9 Stocks Street EAST LISMORE,14.03,13.38,14.12,-28.8198923,153.2859565
48 Victoria Street EAST LISMORE,9.26,8.58,8.49,-28.8133507,153.2713272
50 Victoria Street EAST LISMORE,9.26,8.58,8.49,-28.8130554,153.2710105
52 Victoria Street EAST LISMORE,9.26,8.58,8.49,-28.8132173,153.2711049
54 Victoria Street EAST LISMORE,10.87,8.62,8.46,-28.8134053,153.2712692
39 Walker Street EAST LISMORE,11.454,11.18,11.285,-28.8252932,153.2936488
41 Walker Street EAST LISMORE,11.574,10.884,11.335,-28.8253153,153.2937646
49 Walker Street EAST LISMORE,12.212,11.224,11.451,-28.8253587,153.2943045
51 Walker Street EAST LISMORE,11.98,11.254,11.538,-28.8253847,153.2944897
53 Walker Street EAST LISMORE,11.487,11.483,11.713,-28.8254195,153.2946628
55 Walker Street EAST LISMORE,12.129,11.525,11.8,-28.8254761,153.2948571
57 Walker Street EAST LISMORE,12.083,11.594,11.912,-28.8254788,153.2950295
59 Walker Street EAST LISMORE,12.396,11.723,12.057,-28.8255538,153.2954357
61 Walker Street EAST LISMORE,12.456,11.882,12.125,-28.8255703,153.2956385
63 Walker Street EAST LISMORE,11.992,11.992,12.233,-28.8256103,153.2957717
73 Walker Street EAST LISMORE,12.07,12.163,12.324,-28.8256934,153.296055
77 Walker Street EAST LISMORE,11.964,12.155,12.43,-28.8256725,153.2963767
83 Walker Street EAST LISMORE,12.431,11.944,11.953,-28.8257486,153.2967594
85 Walker Street EAST LISMORE,11.948,11.928,12.353,-28.8257802,153.2968833
87 Walker Street EAST LISMORE,12.049,12.14,12.466,-28.8257869,153.2971135
89 Walker Street EAST LISMORE,12.088,12.194,12.632,-28.8258033,153.2972589
91 Walker Street EAST LISMORE,13.573,12.424,12.839,-28.82585,153.297464
93 Walker Street EAST LISMORE,14.521,13.592,13.651,-28.8258586,153.2976345
97 Walker Street EAST LISMORE,14.01,14.489,14.632,-28.8258754,153.2978273
99 Walker Street EAST LISMORE,15.151,15.303,15.421,-28.8259053,153.2979717
10 Wolstenholm Street EAST LISMORE,10.72,8.44,7.98,-28.8186137,153.2708783
12 Wolstenholm Street EAST LISMORE,9.75,8.76,8.52,-28.8186845,153.2712133
14 Wolstenholm Street EAST LISMORE,12,9.08,8.95,-28.8188991,153.2712937
22 Wyrallah Road EAST LISMORE,12.63,12.29,12.54,-28.816667,153.2832408
30 Wyrallah Road EAST LISMORE,12.75,11.28,11.59,-28.8170597,153.2834602
34 Wyrallah Road EAST LISMORE,12.65,11.29,11.35,-28.8172957,153.283676
36 Wyrallah Road EAST LISMORE,12.1,11.2,11.26,-28.8175407,153.2838977
40 Wyrallah Road EAST LISMORE,12.8,11.11,11.31,-28.8176869,153.2838992
42 Wyrallah Road EAST LISMORE,11.54,10.97,11.34,-28.8177968,153.2838631
44 Wyrallah Road EAST LISMORE,11.68,11.39,11.47,-28.8184101,153.2843931
48 Wyrallah Road EAST LISMORE,12.16,11.29,11.66,-28.8187136,153.2845274
58 Wyrallah Road EAST LISMORE,13.26,11.49,11.66,-28.8192313,153.2849107
60 Wyrallah Road EAST LISMORE,13.24,11.55,11.71,-28.8196209,153.2851889
62 Wyrallah Road EAST LISMORE,12.07,11.68,11.72,-28.8197582,153.2853608
62 Wyrallah Road EAST LISMORE,12.09,12,11.75,-28.8197582,153.2853608
77 Walker Street EAST LISMORE,11.964,12.155,12.43,-28.8256725,153.2963767
83 Walker Street EAST LISMORE,12.431,11.944,11.953,-28.8257486,153.2967594
85 Walker Street EAST LISMORE,11.948,11.928,12.353,-28.8257802,153.2968833
87 Walker Street EAST LISMORE,12.049,12.14,12.466,-28.8257869,153.2971135
89 Walker Street EAST LISMORE,12.088,12.194,12.632,-28.8258033,153.2972589
91 Walker Street EAST LISMORE,13.573,12.424,12.839,-28.82585,153.297464
93 Walker Street EAST LISMORE,14.521,13.592,13.651,-28.8258586,153.2976345
97 Walker Street EAST LISMORE,14.01,14.489,14.632,-28.8258754,153.2978273
99 Walker Street EAST LISMORE,15.151,15.303,15.421,-28.8259053,153.2979717
10 Wolstenholm Street EAST LISMORE,10.72,8.44,7.98,-28.8186137,153.2708783
12 Wolstenholm Street EAST LISMORE,9.75,8.76,8.52,-28.8186845,153.2712133
14 Wolstenholm Street EAST LISMORE,12,9.08,8.95,-28.8188991,153.2712937
22 Wyrallah Road EAST LISMORE,12.63,12.29,12.54,-28.816667,153.2832408
30 Wyrallah Road EAST LISMORE,12.75,11.28,11.59,-28.8170597,153.2834602
34 Wyrallah Road EAST LISMORE,12.65,11.29,11.35,-28.8172957,153.283676
36 Wyrallah Road EAST LISMORE,12.1,11.2,11.26,-28.8175407,153.2838977
40 Wyrallah Road EAST LISMORE,12.8,11.11,11.31,-28.8176869,153.2838992
42 Wyrallah Road EAST LISMORE,11.54,10.97,11.34,-28.8178972,153.2839793
44 Wyrallah Road EAST LISMORE,11.68,11.39,11.47,-28.8184101,153.2843931
48 Wyrallah Road EAST LISMORE,12.16,11.29,11.66,-28.8187136,153.2845274
58 Wyrallah Road EAST LISMORE,13.26,11.49,11.66,-28.8192313,153.2849107
60 Wyrallah Road EAST LISMORE,13.24,11.55,11.71,-28.8196209,153.2851889
62 Wyrallah Road EAST LISMORE,12.07,11.68,11.72,-28.8197582,153.2853608
62 Wyrallah Road EAST LISMORE,12.09,12,11.75,-28.8197582,153.2853608
8 Arthur Street North Lismore,9.05,9.01,8.82,-28.7969892,153.2786967
11 Arthur Street North Lismore,12.43,9.12,9.04,-28.7965328,153.2795117
12 Arthur Street North Lismore,11.91,9.01,8.82,-28.796919,153.2786826
13 Arthur Street North Lismore,11.87,9.51,9.68,-28.7967253,153.2793389
3 Baillie Street North Lismore,11.3,9.17,9.34,-28.8033,153.2767718
5 Baillie Street North Lismore,11.53,9.32,9.41,-28.803274,153.2766684
7 Baillie Street North Lismore,13.31,9.4,9.46,-28.8032375,153.2765677
9 Baillie Street North Lismore,12.67,9.4,9.48,-28.8032589,153.2764363
10 Baillie Street North Lismore,10.98,8.8,8.52,-28.803778,153.2773529
12 Baillie Street North Lismore,11.26,8.92,8.81,-28.8037482,153.277313
16 Baillie Street North Lismore,11.4,9.2,9.18,-28.8036985,153.2770248
18 Baillie Street North Lismore,11.47,9.21,9.29,-28.8036438,153.2768894
20 Baillie Street North Lismore,11.18,9.16,9.32,-28.8036729,153.2767605
24 Baillie Street North Lismore,11.23,9.21,9.39,-28.8036691,153.2766573
26 Baillie Street North Lismore,13.26,9.32,9.46,-28.8036142,153.2764842
28 Baillie Street North Lismore,11.37,9.33,9.48,-28.8036036,153.2763801
30 Baillie Street North Lismore,11.55,9.45,9.53,-28.8035633,153.2762258
32 Baillie Street North Lismore,11.71,9.61,9.53,-28.8035417,153.2760893
24 Barrow Lane  North Lismore,11.02,10.4,10.36,-28.8042759,153.2710761
36 Barrow Lane  North Lismore,12.98,10.77,11.02,-28.8041704,153.270919
8 Arthur Street North Lismore,9.05,9.01,8.82,-28.7969892,153.2786967
11 Arthur Street North Lismore,12.43,9.12,9.04,-28.7965328,153.2795117
12 Arthur Street North Lismore,11.91,9.01,8.82,-28.796919,153.2786826
13 Arthur Street North Lismore,11.87,9.51,9.68,-28.7969841,153.2789259
3 Baillie Street North Lismore,11.3,9.17,9.34,-28.8033,153.2767718
5 Baillie Street North Lismore,11.53,9.32,9.41,-28.803274,153.2766684
7 Baillie Street North Lismore,13.31,9.4,9.46,-28.8032375,153.2765677
9 Baillie Street North Lismore,12.67,9.4,9.48,-28.8032589,153.2764363
10 Baillie Street North Lismore,10.98,8.8,8.52,-28.803778,153.2773529
12 Baillie Street North Lismore,11.26,8.92,8.81,-28.8037482,153.277313
16 Baillie Street North Lismore,11.4,9.2,9.18,-28.8036985,153.2770248
18 Baillie Street North Lismore,11.47,9.21,9.29,-28.8036438,153.2768894
20 Baillie Street North Lismore,11.18,9.16,9.32,-28.8036729,153.2767605
24 Baillie Street North Lismore,11.23,9.21,9.39,-28.8036691,153.2766573
26 Baillie Street North Lismore,13.26,9.32,9.46,-28.8036142,153.2764842
28 Baillie Street North Lismore,11.37,9.33,9.48,-28.8036036,153.2763801
30 Baillie Street North Lismore,11.55,9.45,9.53,-28.8035633,153.2762258
32 Baillie Street North Lismore,11.71,9.61,9.53,-28.8035417,153.2760893
24 Barrow Lane  North Lismore,11.02,10.4,10.36,-28.8042759,153.2710761
36 Barrow Lane  North Lismore,12.98,10.77,11.02,-28.8041704,153.270919
38 Barrow Lane  North Lismore,13.05,10.72,10.99,-28.8039823,153.2709447
39 Barrow Lane  North Lismore,13.16,10.54,10.85,-28.8038717,153.2713645
40 Barrow Lane  North Lismore,13.08,10.62,10.85,-28.8038319,153.2709443
11 Bridge Street North Lismore,10.63,10.55,10.45,-28.805056,153.2761047
14 Bridge Street North Lismore,10.09,10.09,10.47,-28.8047959,153.2751029
17 Bridge Street North Lismore,10.22,10.18,10.46,-28.8046212,153.2756259
18 Bridge Street North Lismore,10.45,10.11,10.46,-28.8045818,153.2749878
18 Bridge Street North Lismore,12.9,10.2,10.46,-28.8045818,153.2749878
19 Bridge Street North Lismore,10.13,10.15,10.45,-28.8045242,153.2756094
20 Bridge Street North Lismore,12.61,10.18,10.45,-28.8044587,153.2751029
21 Bridge Street North Lismore,8.46,8.3,10.44,-28.8047015,153.276766
22 Bridge Street North Lismore,12.53,10.19,10.44,-28.8043498,153.2750862
22A Bridge Street North Lismore,12.36,10.2,10.43,-28.8042479,153.2751029
24 Bridge Street North Lismore,12.51,10.36,10.4,-28.8041313,153.2751489
27 Bridge Street North Lismore,11.17,10.07,10.44,-28.8042542,153.2756622
30 Bridge Street North Lismore,10.57,10.28,10.43,-28.8039427,153.2752094
30 Bridge Street North Lismore,13.39,10.28,10.43,-28.8039427,153.2752094
30 Bridge Street North Lismore,13.39,10.28,10.43,-28.8039427,153.2752094
30 Bridge Street  North Lismore,10.57,10.28,10.43,-28.8039427,153.2752094
33 Bridge Street North Lismore,11.22,10.15,10.38,-28.8041446,153.2757041
35 Bridge Street North Lismore,10.06,10.06,10.43,-28.8039528,153.2759212
38 Bridge Street North Lismore,11.37,10.34,10.42,-28.8037765,153.2751858
39 Bridge Street North Lismore,11.7,9.99,10.42,-28.8039175,153.2758736
40 Bridge Street North Lismore,11.5,10.35,10.38,-28.8036363,153.2752599
43 Bridge Street North Lismore,10.26,10.11,10.4,-28.8038292,153.2760274
45 Bridge Street North Lismore,11.3,9.98,10.38,-28.8037391,153.2758276
46 Bridge Street North Lismore,12.68,10.34,10.37,-28.8035309,153.2753024
49 Bridge Street North Lismore,12.1,10,10.37,-28.8036432,153.2758222
51 Bridge Street North Lismore,10.11,9.98,10.37,-28.8035467,153.2757374
52 Bridge Street North Lismore,12.98,10.34,10.38,-28.8032852,153.2753331
55 Bridge Street North Lismore,10,9.96,10.38,-28.803448,153.2758542
57 Bridge Street North Lismore,9.4,9.4,9.53,-28.8032236,153.2761093
57 Bridge Street North Lismore,9.997,9.963,10.39,-28.8032236,153.2761093
58 Bridge Street North Lismore,13.31,10.4,10.62,-28.8031565,153.2752829
38 Barrow Lane  North Lismore,13.05,10.72,10.99,-28.8039823,153.2709447
39 Barrow Lane  North Lismore,13.16,10.54,10.85,-28.8038717,153.2713645
40 Barrow Lane  North Lismore,13.08,10.62,10.85,-28.8038319,153.2709443
11 Bridge Street North Lismore,10.63,10.55,10.45,-28.805056,153.2761047
14 Bridge Street North Lismore,10.09,10.09,10.47,-28.8047959,153.2751029
17 Bridge Street North Lismore,10.22,10.18,10.46,-28.8046212,153.2756259
18 Bridge Street North Lismore,10.45,10.11,10.46,-28.8045818,153.2749878
18 Bridge Street North Lismore,12.9,10.2,10.46,-28.8045818,153.2749878
19 Bridge Street North Lismore,10.13,10.15,10.45,-28.8045242,153.2756094
20 Bridge Street North Lismore,12.61,10.18,10.45,-28.8044587,153.2751029
21 Bridge Street North Lismore,8.46,8.3,10.44,-28.8047015,153.276766
22 Bridge Street North Lismore,12.53,10.19,10.44,-28.8043498,153.2750862
24 Bridge Street North Lismore,12.51,10.36,10.4,-28.8041313,153.2751489
27 Bridge Street North Lismore,11.17,10.07,10.44,-28.8042542,153.2756622
30 Bridge Street North Lismore,10.57,10.28,10.43,-28.8039427,153.2752094
30 Bridge Street North Lismore,13.39,10.28,10.43,-28.8039427,153.2752094
30 Bridge Street North Lismore,13.39,10.28,10.43,-28.8039427,153.2752094
30 Bridge Street  North Lismore,10.57,10.28,10.43,-28.8039427,153.2752094
33 Bridge Street North Lismore,11.22,10.15,10.38,-28.8041446,153.2757041
35 Bridge Street North Lismore,10.06,10.06,10.43,-28.8039528,153.2759212
38 Bridge Street North Lismore,11.37,10.34,10.42,-28.8037765,153.2751858
39 Bridge Street North Lismore,11.7,9.99,10.42,-28.8039175,153.2758736
40 Bridge Street North Lismore,11.5,10.35,10.38,-28.8036363,153.2752599
43 Bridge Street North Lismore,10.26,10.11,10.4,-28.8038292,153.2760274
45 Bridge Street North Lismore,11.3,9.98,10.38,-28.8037391,153.2758276
46 Bridge Street North Lismore,12.68,10.34,10.37,-28.8035309,153.2753024
49 Bridge Street North Lismore,12.1,10,10.37,-28.8036432,153.2758222
51 Bridge Street North Lismore,10.11,9.98,10.37,-28.8035467,153.2757374
52 Bridge Street North Lismore,12.98,10.34,10.38,-28.8032852,153.2753331
55 Bridge Street North Lismore,10,9.96,10.38,-28.803448,153.2758542
57 Bridge Street North Lismore,9.4,9.4,9.53,-28.8032236,153.2761093
57 Bridge Street North Lismore,9.997,9.963,10.39,-28.8032236,153.2761093
58 Bridge Street North Lismore,13.31,10.4,10.62,-28.8031565,153.2752829
62 Bridge Street North Lismore,10.596,10.596,10.392,-28.8029924,153.2753544
63 Bridge Street North Lismore,11.16,10.04,10.39,-28.8030926,153.2760264
67 Bridge Street North Lismore,12.95,9.87,10.25,-28.8026368,153.2760414
68A Bridge Street North Lismore,10.5,10.26,10.62,-28.802344,153.2753275
71 Bridge Street North Lismore,11.56,9.68,10.23,-28.8024625,153.2760238
73 Bridge Street North Lismore,11.53,9.67,9.99,-28.8024635,153.2759699
74 Bridge Street North Lismore,13.06,10.18,9.8,-28.8022227,153.2755372
75 Bridge Street North Lismore,11.43,9.58,9.78,-28.8020704,153.2762718
76 Bridge Street North Lismore,12.87,9.6,9.47,-28.802009,153.2755732
79 Bridge Street North Lismore,11.65,9.36,9.51,-28.8020231,153.2761455
83 Bridge Street North Lismore,6.86,6.6,6.61,-28.8020231,153.2761455
131 Bridge Street North Lismore,9.98,7.93,8.51,-28.7982811,153.275878
136 Bridge Street North Lismore,12.22,9.44,9.42,-28.8017722,153.2758868
1 Crane Street North Lismore,13.33,10.1,10.15,-28.8041237,153.2719975
5 Crane Street North Lismore,13.11,10.5,10.66,-28.8040682,153.2716131
7 Crane Street North Lismore,13.07,10.59,10.71,-28.8032527,153.2713003
11 Crane Street North Lismore,12.84,10.74,10.91,-28.8037255,153.2711554
19 Crane Street North Lismore,11.98,10.03,10.3,-28.8034349,153.2705503
9 Currie Street North Lismore,13.3,9.14,9.53,-28.8004133,153.2724314
11 Currie Street North Lismore,13.4,9.73,9.7,-28.8002376,153.272516
7 Exton Street North Lismore,9.32,9.1,9.47,-28.8014659,153.2748238
15 Exton Street North Lismore,13.12,8.9,9.24,-28.8016008,153.2745268
20 Exton Street North Lismore,13.24,8.92,9.24,-28.8018449,153.2743531
11 Gibbon Street North Lismore,13.54,11.44,11.61,-28.7992403,153.2661238
13 Gibbon Street North Lismore,13.81,11.51,11.72,-28.7992613,153.2659552
8 Gray Street North Lismore,11.89,10,10.2,-28.7996282,153.2714028
12 Hallam Street North Lismore,12.5,11.82,11.89,-28.7988903,153.2664708
1 Johnstone Lane North Lismore,13.31,10.34,10.37,-28.801886,153.263308
7 Johnstone Lane North Lismore,12.74,10.19,10.16,-28.8019529,153.2637752
66 Lake Street North Lismore,13.12,8.83,8.53,-28.7999105,153.2802411
70 Lake Street North Lismore,12.87,9.01,8.91,-28.8001729,153.2800298
76 Lake Street North Lismore,11.65,9.22,9.15,-28.8001273,153.2797184
78 Lake Street North Lismore,11.58,9.39,9.25,-28.7997986,153.2795042
62 Bridge Street North Lismore,10.596,10.596,10.392,-28.8029924,153.2753544
63 Bridge Street North Lismore,11.16,10.04,10.39,-28.8030926,153.2760264
67 Bridge Street North Lismore,12.95,9.87,10.25,-28.8026368,153.2760414
71 Bridge Street North Lismore,11.56,9.68,10.23,-28.8024625,153.2760238
73 Bridge Street North Lismore,11.53,9.67,9.99,-28.8024635,153.2759699
74 Bridge Street North Lismore,13.06,10.18,9.8,-28.8022227,153.2755372
75 Bridge Street North Lismore,11.43,9.58,9.78,-28.8020704,153.2762718
76 Bridge Street North Lismore,12.87,9.6,9.47,-28.802009,153.2755732
79 Bridge Street North Lismore,11.65,9.36,9.51,-28.8020231,153.2761455
83 Bridge Street North Lismore,6.86,6.6,6.61,-28.8020231,153.2761455
131 Bridge Street North Lismore,9.98,7.93,8.51,-28.7982811,153.275878
136 Bridge Street North Lismore,12.22,9.44,9.42,-28.8017722,153.2758868
1 Crane Street North Lismore,13.33,10.1,10.15,-28.8041237,153.2719975
5 Crane Street North Lismore,13.11,10.5,10.66,-28.8040682,153.2716131
